web_scraper_order,web_scraper_start_url,nom,prix,adresse,conteneur,image_lien
"1772320551-397","https://sn.coinafrique.com/categorie/moutons?page=6","Agneaux Ladoum","Prix sur demande","Keur Massar, Sénégal","https://sn.coinafrique.com/annonce/moutons/agneaux-ladoum-3612958",""
"1772320554-398","https://sn.coinafrique.com/categorie/moutons?page=6","Mouton","70 000 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3639060","https://images.coinafrique.com/thumb_5630109_uploaded_image1_1763563794.jpg"
"1772320557-483","https://sn.coinafrique.com/categorie/moutons?page=3","Brebis","110 000 CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/brebis-4141471",""
"1772320558-399","https://sn.coinafrique.com/categorie/moutons?page=6","Femelle azawatte pur sang - agneau ladoum","300 CFA","Cambérène, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/femelle-azawatte-pur-sang-agneau-ladoum-3646261","https://images.coinafrique.com/thumb_3646261_uploaded_image1_1649515763.jpg"
"1772320560-484","https://sn.coinafrique.com/categorie/moutons?page=3","Mouton ladoum","500 000 CFA","Parcelle Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4143070",""
"1772320561-400","https://sn.coinafrique.com/categorie/moutons?page=6","Mouton Ladoum","600 000 CFA","Kaolack, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-3651908","https://images.coinafrique.com/thumb_3705520_uploaded_image1_1653135164.jpg"
"1772320562-485","https://sn.coinafrique.com/categorie/moutons?page=3","Mouton Ladoum Azawatt","400 000 CFA","Grand Dakar, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-azawatt-4150287",""
"1772320563-401","https://sn.coinafrique.com/categorie/moutons?page=6","Mouton","280 CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-3652312","https://images.coinafrique.com/thumb_5713625_uploaded_image1_1768039387.jpg"
"1772320565-486","https://sn.coinafrique.com/categorie/moutons?page=3","Mouton ladoum","500 000 CFA","Grand Dakar, Dakar, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4150306",""
"1772320567-487","https://sn.coinafrique.com/categorie/moutons?page=3","Mouton ladoum","600 000 CFA","Louga, Sénégal","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-4152006",""
