nom,prix,adresse,image_lien
Perruches ondulées,15 000CFA,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4456156_uploaded_image1_1699884359.jpg
Cailles,1 500CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4454743_uploaded_image1_1699793813.jpg
Perruche ondulée,7 000CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_4452994_uploaded_image1_1699659802.jpg
Paon,250 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4451044_uploaded_image1_1699554808.jpg
Paon,65 000CFA,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4435457_uploaded_image1_1698661056.jpg
Pintade ,7 000CFA,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4412768_uploaded_image1_1697036744.jpg
Perroquet,50 000CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4411374_uploaded_image1_1696959883.jpg
Oies de Toulouse ,Prix sur demande,"Thies, Sénégal",https://images.coinafrique.com/thumb_4409000_uploaded_image1_1696840958.jpg
Dindes,30 000CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4408804_uploaded_image1_1696809535.jpg
Pintades,40 000CFA,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_4408799_uploaded_image1_1696809191.jpg
Veaux,450 000CFA,"Pikine, Sénégal",https://images.coinafrique.com/thumb_4407653_uploaded_image1_1696730126.jpg
Chèvre,80 000CFA,"Thies, Sénégal",https://images.coinafrique.com/thumb_4387674_uploaded_image1_1695430824.jpg
Chat Persan,650 000CFA,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_4386249_uploaded_image1_1695340690.jpg
Dinde rouge pair,35 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4381112_uploaded_image1_1695035479.jpg
Bœuf,450 000CFA,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4379382_uploaded_image1_1694875556.jpg
