web_scraper_order,web_scraper_start_url,conteneur,nom,prix,adresse,image_lien
"1772321311-75","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/bufs-2694719","Bœufs","350 000 CFA","Louga, Sénégal",""
"1772321313-76","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/bufs-2694720","Bœufs","350 000 CFA","Louga, Sénégal",""
"1772321320-77","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://sn.coinafrique.com/annonce/autres-animaux/bufs-2694722","Bœufs","250 000 CFA","Louga, Sénégal",""
"1772321322-78","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://sn.coinafrique.com/annonce/autres-animaux/ane-arabe-2697117","Âne Arabe","850 000 CFA","Kébémer, Sénégal",""
"1772321325-79","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://sn.coinafrique.com/annonce/autres-animaux/olpliitone-20-jours-2701057","Olpliitone 20 jours","15 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2701057_uploaded_image1_1602937383.jpg"
"1772321327-80","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://sn.coinafrique.com/annonce/autres-animaux/canard-2703622","Canard","35 000 CFA","Mamelles, Dakar, Sénégal","https://images.coinafrique.com/thumb_2703622_uploaded_image1_1603049550.jpg"
"1772321329-81","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://sn.coinafrique.com/annonce/autres-animaux/vache-2709747","Vache","300 000 CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_2709747_uploaded_image1_1603289227.jpg"
"1772321332-82","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://sn.coinafrique.com/annonce/autres-animaux/dinde-damerique-2735977","Dinde d'amérique","Prix sur demande","Guediawaye, Dakar, Sénégal",""
"1772321334-83","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://sn.coinafrique.com/annonce/autres-animaux/chaton-angora-turc-2826620","Chaton Angora Turc","100 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2826620_uploaded_image1_1607777038.jpg"
"1772321337-84","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://sn.coinafrique.com/annonce/autres-animaux/vache-2846588","Vache","550 000 CFA","Bambey, Sénégal","https://images.coinafrique.com/thumb_5308237_uploaded_image1_1746189283.jpg"
"1772321339-85","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://sn.coinafrique.com/annonce/autres-animaux/veau-2856538","Veau","250 000 CFA","HLM, Dakar, Sénégal","https://images.coinafrique.com/thumb_2856538_uploaded_image1_1609162542.jpg"
"1772321341-86","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://sn.coinafrique.com/annonce/autres-animaux/chatons-2860327","Chatons","Prix sur demande","Grand Dakar, Dakar, Sénégal","https://images.coinafrique.com/thumb_3450631_uploaded_image1_1637664547.jpg"
"1772321344-87","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://sn.coinafrique.com/annonce/autres-animaux/canard-colvert-2876451","Canard Colvert","50 000 CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_2876451_uploaded_image1_1610052488.jpg"
"1772321346-88","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://sn.coinafrique.com/annonce/autres-animaux/bouc-race-laitiere-2881915","Bouc race laitière","Prix sur demande","Saly, Sénégal","https://images.coinafrique.com/thumb_2881915_uploaded_image1_1610303521.jpg"
"1772321348-89","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://sn.coinafrique.com/annonce/autres-animaux/chaton-noir-blanc-2886750","Chaton noir blanc","Prix sur demande","Mamelles, Dakar, Sénégal","https://images.coinafrique.com/thumb_2886750_uploaded_image1_1610486302.jpg"
"1772321351-90","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://sn.coinafrique.com/annonce/autres-animaux/dinde-rouge-2888081","Dinde rouge","70 000 CFA","Louga, Sénégal","https://images.coinafrique.com/thumb_2888081_uploaded_image1_1610544422.jpg"
"1772321353-91","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://sn.coinafrique.com/annonce/autres-animaux/perruches-inseparables-2896567","Perruches - inséparables","12 500 CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2896567_uploaded_image1_1610914575.jpg"
"1772321355-92","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://sn.coinafrique.com/annonce/autres-animaux/jument-arabe-2924412","Jument arabe","1 500 000 CFA","Kébémer, Sénégal","https://images.coinafrique.com/thumb_2924412_uploaded_image1_1612197584.jpg"
"1772321358-93","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://sn.coinafrique.com/annonce/autres-animaux/perroquet-senegal-avec-cage-2930350","Perroquet Sénégal avec cage","35 000 CFA","Ngor, Dakar, Sénégal","https://images.coinafrique.com/thumb_2930350_uploaded_image1_1612388040.jpg"
"1772321360-94","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://sn.coinafrique.com/annonce/autres-animaux/couple-oie-de-toulouse-adulte-2936871","Couple oie de toulouse adulte","85 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3413662_uploaded_image1_1635765247.jpg"
"1772321362-95","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://sn.coinafrique.com/annonce/autres-animaux/chaton-angora-turque-2966724","Chaton Angora turque","160 000 CFA","Grand Dakar, Dakar, Sénégal","https://images.coinafrique.com/thumb_2966724_uploaded_image1_1614082274.jpg"
"1772321365-96","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://sn.coinafrique.com/annonce/autres-animaux/buf-2968890","Bœuf","Prix sur demande","Dakar, Sénégal",""
"1772321367-97","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://sn.coinafrique.com/annonce/autres-animaux/porc-3004606","Porc","2 500 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3004606_uploaded_image1_1615897391.jpg"
"1772321370-98","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://sn.coinafrique.com/annonce/autres-animaux/laor-noir-3005811","Laor noir","35 000 CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3005811_uploaded_image1_1615937465.jpg"
"1772321372-99","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://sn.coinafrique.com/annonce/autres-animaux/buf-3012014","Bœuf","425 000 CFA","Guediawaye, Dakar, Sénégal",""
"1772321374-100","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://sn.coinafrique.com/annonce/autres-animaux/cheval-3012715","Cheval","800 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3526170_uploaded_image1_1642274663.jpg"
"1772321377-101","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://sn.coinafrique.com/annonce/autres-animaux/oie-adulte-3025291","Oie adulte","80 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3025291_uploaded_image1_1616933629.jpg"
"1772321379-102","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://sn.coinafrique.com/annonce/autres-animaux/oisillons-3026572","Oisillons","25 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3026572_uploaded_image1_1617014695.jpg"
"1772321382-103","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://sn.coinafrique.com/annonce/autres-animaux/taureau-geniteur-laitier-3039728","Taureau géniteur laitier","2 000 000 CFA","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_3087054_uploaded_image1_1619718794.jpg"
