web_scraper_order,web_scraper_start_url,nom,prix,adresse,image_lien,conteneur
"1772320119-74","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot  Berger Allemand","200 000 CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_5466408_uploaded_image1_1754682101.jpg","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4296542"
"1772320121-75","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot Cane Corso","400 000 CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_4300394_uploaded_image1_1689770783.jpg","https://sn.coinafrique.com/annonce/chiens/chiot-cane-corso-4300394"
"1772320124-76","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot Bichon","150 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_5613212_uploaded_image1_1762713775.jpg","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-4307889"
"1772320126-77","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot  Bichon nain","200 000 CFA","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4311860_uploaded_image1_1690537675.jpg","https://sn.coinafrique.com/annonce/chiens/chiot-bichon-nain-4311860"
"1772320128-78","https://sn.coinafrique.com/categorie/chiens?page=5","Chiot Malinois","200 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5628892_uploaded_image1_1763507006.jpg","https://sn.coinafrique.com/annonce/chiens/chiot-malinois-4312162"
"1772320131-79","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots Bichons","150 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_5613212_uploaded_image1_1762713775.jpg","https://sn.coinafrique.com/annonce/chiens/chiots-bichons-4314748"
"1772320133-80","https://sn.coinafrique.com/categorie/chiens?page=5","Chiots berger allemand","180 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5563010_uploaded_image1_1759844917.jpg","https://sn.coinafrique.com/annonce/chiens/chiots-berger-allemand-4315045"
"1772320138-81","https://sn.coinafrique.com/categorie/chiens?page=4","Chiot berger allemand","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_5491012_uploaded_image1_1756047419.jpg","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4315123"
"1772320140-82","https://sn.coinafrique.com/categorie/chiens?page=4","Chiots  Malinois","225 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5628892_uploaded_image1_1763507006.jpg","https://sn.coinafrique.com/annonce/chiens/chiots-malinois-4318517"
"1772320143-83","https://sn.coinafrique.com/categorie/chiens?page=4","Chiots  Boerbull","Prix sur demande","Biscuiterie, Dakar, Sénégal","https://images.coinafrique.com/thumb_4324260_uploaded_image1_1691322006.jpg","https://sn.coinafrique.com/annonce/chiens/chiots-boerbull-4324260"
"1772320145-84","https://sn.coinafrique.com/categorie/chiens?page=4","Chiot Pitbull","Prix sur demande","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_4351149_uploaded_image1_1693052882.jpg","https://sn.coinafrique.com/annonce/chiens/chiot-pitbull-4327552"
"1772320147-85","https://sn.coinafrique.com/categorie/chiens?page=4","Chiots Bichons","150 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_5613212_uploaded_image1_1762713775.jpg","https://sn.coinafrique.com/annonce/chiens/chiots-bichons-4330247"
"1772320150-86","https://sn.coinafrique.com/categorie/chiens?page=4","Chiot  Caniche","Prix sur demande","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_4330813_uploaded_image1_1691723836.jpg","https://sn.coinafrique.com/annonce/chiens/chiot-caniche-4330813"
"1772320152-87","https://sn.coinafrique.com/categorie/chiens?page=4","Chiot Pitbull","Prix sur demande","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_4351149_uploaded_image1_1693052882.jpg","https://sn.coinafrique.com/annonce/chiens/chiot-pitbull-4332159"
"1772320154-88","https://sn.coinafrique.com/categorie/chiens?page=4","Chien  Berger","Prix sur demande","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4344463_uploaded_image1_1692634225.jpg","https://sn.coinafrique.com/annonce/chiens/chien-berger-4344463"
"1772320157-89","https://sn.coinafrique.com/categorie/chiens?page=4","Chiots","250 000 CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_5628892_uploaded_image1_1763507006.jpg","https://sn.coinafrique.com/annonce/chiens/chiots-4344699"
"1772320159-90","https://sn.coinafrique.com/categorie/chiens?page=4","Chiot Malinois","225 000 CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_5699953_uploaded_image1_1767376903.jpg","https://sn.coinafrique.com/annonce/chiens/chiot-malinois-4347159"
"1772320161-91","https://sn.coinafrique.com/categorie/chiens?page=4","Chiots Berger Malinois","140 000 CFA","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_4347191_uploaded_image1_1692800036.jpg","https://sn.coinafrique.com/annonce/chiens/chiots-berger-malinois-4347191"
"1772320164-92","https://sn.coinafrique.com/categorie/chiens?page=4","Chiots Bichons","150 000 CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_5613212_uploaded_image1_1762713775.jpg","https://sn.coinafrique.com/annonce/chiens/chiots-bichons-4349193"
"1772320166-93","https://sn.coinafrique.com/categorie/chiens?page=4","Chiot Berger allemand","Prix sur demande","Mbour, Sénégal","https://images.coinafrique.com/thumb_5290700_uploaded_image1_1745194550.jpg","https://sn.coinafrique.com/annonce/chiens/chiot-berger-allemand-4351042"
